"Direcciones_c";"Direcciones_prueba";"Ciudad";"localizaciones.lat";"localizaciones.long"
"CL 72 A 50 44";"CL 72 A 50 44 ";"ITAGUI";6,182921;-75,59692
"CL 47 A 38 64";"CL 47 A 38 64 ";"MEDELLIN";6,243245;-75,56055
"CL 36 D SUR 27 D 39";"CL 36 D SUR 27 D 39 CONJUNTO RESIDENCIAL GUADALCANAL PH";"ENVIGADO";6,165153;-75,57548
"CR 51 96 SUR 50";"CR 51 96 SUR 50 SIERRA MORENA PH";"LA ESTRELLA";6,134251853;-75,63574534
"CR 79 A 42 51";"CR 79 A 42 51 BALCONES DE LA CONSOLATA";"MEDELLIN";6,249172;-75,5985
"CL 42 C 82 80";"CL 42 C 82 80 EDIFICIO MONTEMAR 1 PH";"MEDELLIN";6,24864;-75,60442
"CR 55 B 12 AA SUR 70";"CR 55 B 12 AA SUR 70 URBANIZACION GUAYABALIA DOS PH";"MEDELLIN";6,19873;-75,59582
"CR 72 32 B 54";"CR 72 32 B 54 TORRE BOLIVARIANA";"MEDELLIN";6,247234;-75,59155
"CL 36 63 56";"CL 36 63 56 VEGAS DEL PARQUE PH";"ITAGUI";6,17272;-75,62895
"CR 81 40 54";"CR 81 40 54 ";"MEDELLIN";6,24758;-75,60235
"CL 47 B SUR 69 94";"CL 47 B SUR 69 94 URBANIZACION RESERVAS DEL PRADO ETAPA III";"MEDELLIN";6,25979;-75,56215
"CR 61 33 65";"CR 61 33 65 CONJUNTO RESIDENCIAL PACIFICA PH";"LA ESTRELLA";6,164979;-75,6438
"CL 44 SUR 47 18";"CL 44 SUR 47 18 URBANIZACION MILAN CONDOMINIO 9";"ENVIGADO";6,166567;-75,59755
"CR 55 83 C SUR 15";"CR 55 83 C SUR 15 ";"LA ESTRELLA";6,150252;-75,63721
"CR 25 A 38 D SUR 30";"CR 25 A 38 D SUR 30 CONJUNTO RESIDENCIAL CALIFORNIA PH";"ENVIGADO";6,154761;-75,57187
"CL 60 SUR 39 55";"CL 60 SUR 39 55 CIUDAD DEL BOSQUE ET 3";"SABANETA";6,157744;-75,60936
"CL 75 75 100";"CL 75 75 100 EDIFICIO ALTO PRADO PH";"MEDELLIN";6,27645;-75,58844
"CR 28 29 145";"CR 28 29 145 CONJUNTO RESIDENCIAL SANDIEGO CAMPESTRE PH";"MEDELLIN";6,23349;-75,56834
"CR 27 AA 36 SUR 200";"CR 27 AA 36 SUR 200 CONJUNTO RESIDENCIAL NATIVO AGUA PH";"ENVIGADO";6,15847;-75,57405
"CL 42 A 57 A 5";"CL 42 A 57 A 5 EDIFICIO VILLAS DE SANTANA";"BELLO";6,328485;-75,56389
"CL 2 B 81 A 513";"CL 2 B 81 A 513 CAMINO DEL PARQUE PH";"MEDELLIN";6,21309;-75,60761
"TV 27 A SUR 42 90";"TV 27 A SUR 42 90 JACARANDAS PH";"ENVIGADO";6,177464;-75,58144
"CL 51 A 81 B 22";"CL 51 A 81 B 22 CONJUNTO RESIDENCIAL PORTAL DE CALASANZ";"MEDELLIN";6,26551;-75,5987
"CL 87 SUR 65 A 371";"CL 87 SUR 65 A 371 CONJUNTO RESIDENCIAL FELICITY TORRE 1 ETAPA PH";"LA ESTRELLA";6,15348;-75,64913
"CR 77 37 57";"CR 77 37 57 EDIFICIO TORRENTE DEL EBRO";"MEDELLIN";6,245316;-75,59887
"CL 37 SUR 27 90";"CL 37 SUR 27 90 BIOCITY GRAND";"ENVIGADO";6,159733;-75,57454
"CL 75 SUR 53 120";"CL 75 SUR 53 120 CONJUNTO RESIDENCIAL AGUAS DEL BOSQUE PH TORRE 3";"ITAGUI";6,164831;-75,63549
"CL 27 SUR 27 55";"CL 27 SUR 27 55 URBANIZACION IBERICA PH";"ENVIGADO";6,172413;-75,56826
"CR 48 4 SUR 200";"CR 48 4 SUR 200 CONJUNTO RESIDENCIAL ALDEA DE RIOBAMBA AP";"MEDELLIN";6,34235;-75,70153
"CR 26 A 9 A 11";"CR 26 A 9 A 11 EDIFICIO ATOSHI PH";"MEDELLIN";6,208236;-75,55662
"CL 34 C 88 B 55";"CL 34 C 88 B 55 CONJUNTO RESIDENCIAL PLAZA CAMPESTRE PH";"MEDELLIN";6,24306;-75,61557
"CR 27 D 34 DD SUR 69";"CR 27 D 34 DD SUR 69 URBANIZACION QUEBEC";"ENVIGADO";6,168699;-75,57465
"CL 55 40 85";"CL 55 40 85 EDIFICIO TORRELIMA III";"MEDELLIN";6,24956;-75,55937
"CL 78 SUR 40 94";"CL 78 SUR 40 94 PRIMEIRO APARTAMENTOS";"SABANETA";6,144591;-75,62212
"CL 77 C 86 A 04";"CL 77 C 86 A 04 ";"MEDELLIN";6,283358;-75,59072
"CL 71 SUR 34 60";"CL 71 SUR 34 60 ED RESIDENCIAL Y COMERCIAL MARAT PLUS";"SABANETA";6,145712;-75,61134
"CR 45 D 61 17";"CR 45 D 61 17 ";"MEDELLIN";6,25575;-75,55883
"CR 46 19 SUR 57";"CR 46 19 SUR 57 EDIFICIO PALMAS DE ZUÑIGA PH";"ENVIGADO";6,185935;-75,58083
"CR 41 54 15";"CR 41 54 15 EDIFICIO MARIA ISABEL";"MEDELLIN";6,24928;-75,55996
"CR 47 1 77";"CR 47 1 77 CONJUNTO RESIDENCIAL EL FUTURO";"MEDELLIN";6,206158;-75,57614
"CL 37 B SUR 27 17";"CL 37 B SUR 27 17 BRUJAS CAMPESTRE";"ENVIGADO";6,157251273;-75,57331039
"CR 25 1 A SUR 155";"CR 25 1 A SUR 155 CONJUNTO PLATINUM SUPERIOR PH";"MEDELLIN";6,196743;-75,55774
"CR 83 A 37 C 21";"CR 83 A 37 C 21 ";"MEDELLIN";6,24622;-75,60529
"CR 59 BB 76 C SUR 17";"CR 59 BB 76 C SUR 17 TORRE VERONA PH";"LA ESTRELLA";6,15726;-75,64351
"CL 77 SUR 47 C 65";"CL 77 SUR 47 C 65 CONJUNTO DE USO MIXTO RIO MISTICO PH";"SABANETA";6,15154;-75,62399
"CL 77 SUR 50 A 184";"CL 77 SUR 50 A 184 CONJUNTO RESIDENCIAL VIÑA DEL MAR";"LA ESTRELLA";6,15738;-75,62706
"CR 83 B 33 108";"CR 83 B 33 108 EDIFICIO CASTELLO N 1";"MEDELLIN";6,23971;-75,60733
"CL 33 C 88 A 93";"CL 33 C 88 A 93 CONJUNTO LAURELES CAMPESTRE";"MEDELLIN";6,241636;-75,61351
"CR 16 B 32 14";"CR 16 B 32 14 RESERVA DEL SEMINARIO PH";"MEDELLIN";6,24589;-75,57457
"CL 75 SUR 54 A 150";"CL 75 SUR 54 A 150 URBANIZACION FIORI VITA APARTAMENTOS";"ITAGUI";6,164263;-75,63633
"DG 75 DD TV 4 95";"DG 75 DD TV 4 95 URBANIZACION LA MOTA NUCLEO 4";"MEDELLIN";6,21085;-75,59868
"CL 77 SUR 47 C 65";"CL 77 SUR 47 C 65 CONJUNTO RIO MISTICO 2";"SABANETA";6,15154;-75,62399
"CR 50 A 90 24";"CR 50 A 90 24 ";"MEDELLIN";6,2824;-75,55855
"CL 49 E 83 A 200";"CL 49 E 83 A 200 CONJUNTO RESIDENCIAL SOL CRECIENTE";"MEDELLIN";6,26445;-75,60315
"CIR 74 TV 39 B 32";"CIR 74 TV 39 B 32 EDIFICIO CAPRI N 1";"MEDELLIN";6,245233;-75,59492
"CL 10 42 45";"CL 10 42 45 LC 511 ED LA PLAZA DEL POBLADO";"MEDELLIN";6,2104;-75,57013
"CL 18 SUR 25 C 143";"CL 18 SUR 25 C 143 EDIFICIO CINQUETERRE PH";"MEDELLIN";6,182744;-75,56515
"CR 46 75 SUR 150";"CR 46 75 SUR 150 URBANIZACION KORE APARTAMENTOS";"SABANETA";6,148504;-75,62036
"CL 34 B 85 A 81";"CL 34 B 85 A 81 ";"MEDELLIN";6,24301;-75,60929
"CL 75 SUR 53 120";"CL 75 SUR 53 120 AGUAS DEL BOSQUE TORRE 3";"ITAGUI";6,164831;-75,63549
"CL 77 SUR 50 A 184";"CL 77 SUR 50 A 184 CONJUNTO RESIDENCIAL VIÑA DEL MAR";"ITAGUI";6,20542;-75,56718
"CR 71 A 53 A 49";"CR 71 A 53 A 49 JAZZ APARTAMENTOS";"MEDELLIN";6,262318;-75,58618
"CR 28 29 145";"CR 28 29 145 SANDIEGO CAMPESTRE";"MEDELLIN";6,23349;-75,56834
"CL 77 SUR 35 A 71";"CL 77 SUR 35 A 71 CONJUNTO RESIDENCIAL MADEROS DEL CAMPO ET II";"SABANETA";6,143216;-75,6188
"CR 74 44 38";"CR 74 44 38 ";"MEDELLIN";6,25014;-75,59333
"CR 80 50 52";"CR 80 50 52 ";"MEDELLIN";6,26391;-75,5964
"CR 84 A 37 28";"CR 84 A 37 28 ";"MEDELLIN";6,245133;-75,60684
"CL 32 77 51";"CL 32 77 51 UNIDAD RESIDENCIAL ACALANTO";"MEDELLIN";6,2208;-75,59548
"CL 7 39 197 CONS 1107";"CL 7 39 197 CONS 1107 TORRE INTERMEDICA CENTRO DE ESPECIALISTAS";"MEDELLIN";6,2065;-75,57073
"CR 97 A 32 C 25";"CR 97 A 32 C 25 URBANIZACION CASTEL DEL MONTE";"MEDELLIN";6,24589;-75,57457
"CL 65 80 A 119";"CL 65 80 A 119 ";"MEDELLIN";6,2746;-75,59484
"CR 27 A 27 E SUR 51";"CR 27 A 27 E SUR 51 UNIDAD RESIDENCIAL ST LAURENT PH";"ENVIGADO";6,174732;-75,5734
"CL 59 47 18";"CL 59 47 18 EDIFICIO SANTISTEBAN";"MEDELLIN";6,25572;-75,56197
"CL 77 SUR 47 C 65";"CL 77 SUR 47 C 65 CONJUNTO DE USO MIXTO URBANIZACION RIO MISTICO PH";"SABANETA";6,15154;-75,62399
"CR 38 26 343";"CR 38 26 343 CASTELLON DE SAN DIEGO PH";"MEDELLIN";6,22719;-75,56602
"CR 71 37 350";"CR 71 37 350 CONJUNTO RESIDENCIAL TERRITORIO VERDE PH";"ITAGUI";6,17288;-75,61148
"CL 75 SUR 53 30";"CL 75 SUR 53 30 BOSQUES DE SURAMERICA PH";"ITAGUI";6,165053;-75,63484
"CL 22 A SUR 46 34";"CL 22 A SUR 46 34 EDIFICIO TERRAZINO ROYAL PH";"ENVIGADO";6,18425;-75,5825
"CL 2 B 81 A 460";"CL 2 B 81 A 460 CONJUNTO RESIDENCIAL PASEO DEL PARQUE PH";"MEDELLIN";6,210888;-75,60568
"CR 69 B 32 75";"CR 69 B 32 75 ";"MEDELLIN";6,23523;-75,59054
"CR 71 28 81";"CR 71 28 81 NUEVA GRANADA";"MEDELLIN";6,23023;-75,59206
"CR 94 34 BB 39";"CR 94 34 BB 39 URBANIZACION CITARA";"MEDELLIN";6,245528;-75,61943
"CL 64 76 A 29";"CL 64 76 A 29 CONJUNTO DE USO MIXTO ONIX APARTAMENTOS PH";"MEDELLIN";6,24589;-75,57457
"CL 76 DG 80 205";"CL 76 DG 80 205 CONJUNTO RESIDENCIAL TORRES DE HUNGRIA PH";"MEDELLIN";6,22246;-75,60318
"CL 44 C 91 54";"CL 44 C 91 54 JARDINES PH";"MEDELLIN";6,254963;-75,60824
"CL 70 A SUR 35 51";"CL 70 A SUR 35 51 CIGARRAS APARTAMENTOS";"SABANETA";6,150713;-75,61506
"CL 48 B 66 77";"CL 48 B 66 77 EDIFICIO PORTALES DE ALCALA";"MEDELLIN";6,254;-75,58402
"CR 48 65 14";"CR 48 65 14 ";"ITAGUI";6,179626;-75,59895
"CL 25 51 46";"CL 25 51 46 EDIFICIO MANANTIALES";"BELLO";6,31459;-75,55828
"CR 53 A 45 84";"CR 53 A 45 84 FLOR APARTAMENTOS PH";"BELLO";6,331914;-75,56189
"CR 63 B 73 SUR 117";"CR 63 B 73 SUR 117 CONJUNTO RESIDENCIAL ORION PH";"LA ESTRELLA";6,166125;-75,64555
"CL 54 81 B 26";"CL 54 81 B 26 PRADO VERDE PH";"MEDELLIN";6,26918;-75,59804
"CL 75 AA SUR 52 D 60";"CL 75 AA SUR 52 D 60 FRONTERA DE SURAMERICA PH";"ITAGUI";6,17288;-75,61148
"CR 27 37 SUR 45";"CR 27 37 SUR 45 CONJUNTO RESIDENCIAL URBANIZACION EPIC";"ENVIGADO";6,15847;-75,57405
"CL 7 36 90";"CL 7 36 90 VEGAS DE CATAY PH";"MEDELLIN";6,20632;-75,56734
"CL 30 AA 81 A 26";"CL 30 AA 81 A 26 EDIFICIO JERUSALEN";"MEDELLIN";6,23255;-75,60315
"CL 60 SUR 39 55";"CL 60 SUR 39 55 CIUDAD DEL BOSQUE ETAPA 2";"SABANETA";6,157744;-75,60936
"CR 42 B 25 SUR 102";"CR 42 B 25 SUR 102 NUEVA ORQUIDEA";"ENVIGADO";6,178738;-75,5805
"TV 51 A 69 81";"TV 51 A 69 81 CONJUNTO RESIDENCIAL ESTADIO 70 PH";"MEDELLIN";6,25976;-75,58481
"CR 73 74 86";"CR 73 74 86 EDIFICIO ENTREVERDE PH";"MEDELLIN";6,274373;-75,58433
"CL 77 SUR 47 C 65";"CL 77 SUR 47 C 65 URBANIZACION RIO MISTICO T2";"SABANETA";6,15154;-75,62399
"CR 34 38 SUR 50";"CR 34 38 SUR 50 EDIFICIO SANTA TERESITA";"ENVIGADO";6,166194;-75,58282
"CR 33 A 72 SUR 184";"CR 33 A 72 SUR 184 CONJUNTO RESIDENCIAL BAMBU PH";"SABANETA";6,141196;-75,61178
"CR 74 A 95 14";"CR 74 A 95 14 ";"MEDELLIN";6,29192;-75,57828
"CR 48 76 D SUR 34";"CR 48 76 D SUR 34 PLAZA PH TORRES";"SABANETA";6,152416;-75,6234
"CR 43 D 14 A 60";"CR 43 D 14 A 60 CONJUNTO RESIDENCIAL PINAR DEL RIO 1";"MEDELLIN";6,21626;-75,5713
"CR 25 A 38 D SUR 111";"CR 25 A 38 D SUR 111 CONJUNTO RESIDENCIAL CASTELLI SEGUNDA ETAPA";"ENVIGADO";6,155181;-75,57159
"CR 48 4 SUR 200";"CR 48 4 SUR 200 CONJUNTO RESIDENCIAL ALDEA DE RIO BAMBA APARTAMENTOS";"MEDELLIN";6,34235;-75,70153
"TV 15 DG 79 120";"TV 15 DG 79 120 TORRES DE AVIÑON I - II PH";"MEDELLIN";6,220529;-75,60112
"DG 79 A 5 299";"DG 79 A 5 299 UNIDAD RESIDENCIAL CEDROS DE LA COLINA PH";"MEDELLIN";6,19899;-75,59217
"CL 7 83 31";"CL 7 83 31 CONJUNTO SIEMPRE VERDE PH";"MEDELLIN";6,219442;-75,60536
"CR 81 48 B 03";"CR 81 48 B 03 EDIFICIO BOTTICELLI PH";"MEDELLIN";6,26035;-75,59832
"CL 61 SUR 39 70";"CL 61 SUR 39 70 CIUDAD DEL BOSQUE ETAPA 1";"SABANETA";6,156097;-75,61098
"CL 32 A 78 B 34";"CL 32 A 78 B 34 EDIFICIO HENRY I";"MEDELLIN";6,23412;-75,59973
"CR 54 A 75 SUR 10";"CR 54 A 75 SUR 10 CONJUNTO RESIDENCIAL";"ITAGUI";6,164082;-75,63623
"CR 74 B 65 41";"CR 74 B 65 41 CAMINO DEL CERRO PH";"MEDELLIN";6,26693;-75,58651
"CR 79 A 51 11";"CR 79 A 51 11 EDIFICIO SELECTO 2";"MEDELLIN";6,26407;-75,59603
"CL 7 80 75";"CL 7 80 75 CONJUNTO RESIDENCIAL BISSO PH";"MEDELLIN";6,20542;-75,56718
"CR 79 A 42 51";"CR 79 A 42 51 BALCONES DE LA CONSOLATA PH";"MEDELLIN";6,249172;-75,5985
"CR 48 4 SUR 200";"CR 48 4 SUR 200 CONJUNTO RESIDENCIAL ALDEA DE RIOBAMBA APARTAMENTOS";"MEDELLIN";6,34235;-75,70153
"CL 77 AC 80 40";"CL 77 AC 80 40 CONJUNTO RESIDENCIAL SHANGRILA PH";"MEDELLIN";6,27908;-75,58822
"CL 35 A SUR 47 14";"CL 35 A SUR 47 14 PORTAL III";"ENVIGADO";6,174125396;-75,59105888
"CR 58 A 13 SUR 30";"CR 58 A 13 SUR 30 EDIFICIO KIWI PH";"ITAGUI";6,196248;-75,62212
"CL 39 52 95";"CL 39 52 95 CONJUNTO INMOBILIARIO OCEANA PH";"BELLO";6,34034;-75,55916
"CL 39 52 40";"CL 39 52 40 CONJUNTO RESIDENCIAL MEDITERRANEA PH";"BELLO";6,20542;-75,56718
"CL 87 SUR 55 695";"CL 87 SUR 55 695 CONJUNTO RESIDENCIAL SENDERO DEL BOSQUE";"LA ESTRELLA";6,151434;-75,64413
"CL 77 SUR 47 C 65";"CL 77 SUR 47 C 65 CONJUNTO MIXTO URBANIZACION RIO MISTICO PH";"SABANETA";6,15154;-75,62399
"TV 39 B CIR 74 B 8";"TV 39 B CIR 74 B 8 NUEVA CANTABRIA";"MEDELLIN";6,24589;-75,57457
"TV 38 CIR 72 99";"TV 38 CIR 72 99 EDIFICIO SLOVENIA";"MEDELLIN";6,242129;-75,595
"CL 81 SUR 59 115";"CL 81 SUR 59 115 CONJUNTO RESIDENCIAL FUENTE CLARA PH";"LA ESTRELLA";6,157015;-75,64297
"CL 39 B SUR 24 EE 29";"CL 39 B SUR 24 EE 29 ";"ENVIGADO";6,150918;-75,57515
"CL 53 55 A 67";"CL 53 55 A 67 CONJUNTO RESIDENCIAL RESERVA DEL BOSQUE PH";"ITAGUI";6,17288;-75,61148
"CR 27 37 SUR 45";"CR 27 37 SUR 45 CONJUNTO RESIDENCIAL URBANIZACION EPIC PH";"ENVIGADO";6,15847;-75,57405
"CR 27 36 C SUR 35";"CR 27 36 C SUR 35 FIRENZZE APARTAMENTOS";"ENVIGADO";6,1651;-75,57379
"DG 59 AV 42 118";"DG 59 AV 42 118 EDIFICIO DALLAS PH";"BELLO";6,341819;-75,54949
"TV 15 DG 79 240";"TV 15 DG 79 240 TORRES DE AVIÑON III PH";"MEDELLIN";6,18248;-75,60411
"CR 54 A 75 SUR 13";"CR 54 A 75 SUR 13 CONJUNTO DE USO MIXTO PORTAL DE LA ESTRELLA";"ITAGUI";6,17288;-75,61148
"CL 48 SUR 42 A 11";"CL 48 SUR 42 A 11 ";"ENVIGADO";6,159541;-75,5952
"CIR 3 TV 74 93";"CIR 3 TV 74 93 LC 102";"MEDELLIN";6,24589;-75,57457
"CL 44 A 86 6";"CL 44 A 86 6 ";"MEDELLIN";6,25201;-75,6051
"CL 37 B SUR 27 B 125";"CL 37 B SUR 27 B 125 CONJUNTO RESIDENCIAL LA RESERVA PH";"ENVIGADO";6,16114;-75,57609
"CR 47 1 49";"CR 47 1 49 CONJUNTO RESIDENCIAL EL FUTURO";"MEDELLIN";6,205951;-75,57624
"CR 61 33 51";"CR 61 33 51 CONJUNTO RESIDENCIAL BAHIA GRANDE PH T 2";"ITAGUI";6,20542;-75,56718
"CL 27 SUR 28 49";"CL 27 SUR 28 49 CONJUNTO RESIDENCIAL URBANIZACION ROSSET PH";"ENVIGADO";6,174498;-75,57564
"CR 69 32 D 30";"CR 69 32 D 30 EDIFICIO MALIBU PARK PH";"MEDELLIN";6,237744;-75,59001
"CR 37 A 15 B 50";"CR 37 A 15 B 50 CONJUNTO RESIDENCIAL FONT PH";"MEDELLIN";6,21597;-75,56555
"CR 38 26 343";"CR 38 26 343 CONJUNTO RESIDENCIAL CASTELLON DE SAN DIEGO PH";"MEDELLIN";6,22719;-75,56602
"CR 67 B TV 51 A 43";"CR 67 B TV 51 A 43 CONJUNTO RESIDENCIAL VILLA COLOMBIA PH";"MEDELLIN";6,25837;-75,5834
"CL 51 84 50";"CL 51 84 50 CALASANZ ETAPA 1 PH";"MEDELLIN";6,267483;-75,60203
"CR 65 A 32 C 31";"CR 65 A 32 C 31 ";"MEDELLIN";6,23748;-75,58343
"CR 45 1 59";"CR 45 1 59 CONJUNTO RESIDENCIAL TORRES DEL FUTURO PH";"MEDELLIN";6,26478;-75,58692
"CL 75 SUR 53 120";"CL 75 SUR 53 120 AGUAS DEL BOSQUE";"ITAGUI";6,164831;-75,63549
"CL 75 73 116";"CL 75 73 116 CONJUNTO RESIDENCIAL ESCALARES PH";"MEDELLIN";6,27584;-75,58522
"CL 7 83 23";"CL 7 83 23 EDIFICIO BOREAL PH";"MEDELLIN";6,219442;-75,60536
"CL 75 SUR 42 97";"CL 75 SUR 42 97 CONJUNTO RESIDENCIAL URBANIZACION BANGKOK";"SABANETA";6,150404;-75,61919
"CL 38 65 D 45";"CL 38 65 D 45 EDIFICIO DOS SANTOS PH";"MEDELLIN";6,24251;-75,58365
"CL 7 80 185";"CL 7 80 185 CONJUNTO RESIDENCIAL MANANTIAL DE LOS BERNAL PH";"MEDELLIN";6,219205;-75,60436
"CR 42 60 SUR 15";"CR 42 60 SUR 15 CONJUNTO RESIDENCIAL KANDALA";"SABANETA";6,154406;-75,6065
"CR 63 B 73 SUR 117";"CR 63 B 73 SUR 117 UNIDAD RESIDENCIAL ORION PH";"LA ESTRELLA";6,166125;-75,64555
"CL 24 55 83";"CL 24 55 83 ";"BELLO";6,313497;-75,56166
"CL 39 52 40";"CL 39 52 40 CIUDAD FABRICATO";"BELLO";6,34034;-75,55916
"CR 30 TV 2 70";"CR 30 TV 2 70 URBANIZACION RIACHUELOS";"MEDELLIN";6,24589;-75,57457
"CL 84 A 52 D 80";"CL 84 A 52 D 80 ";"ITAGUI";6,191915;-75,59339
"CR 43 B 35 SUR 6";"CR 43 B 35 SUR 6 ";"ENVIGADO";6,172538;-75,58778
"CL 19 A 81 B 75";"CL 19 A 81 B 75 ";"MEDELLIN";6,22458;-75,60386
"CR 78 A 34 A 69";"CR 78 A 34 A 69 EDIFICIO TRANSPARENZA II";"MEDELLIN";6,241507;-75,59904
"CR 81 A 42 B 34";"CR 81 A 42 B 34 ";"MEDELLIN";6,247958;-75,60303
"CL 38 B 79 18";"CL 38 B 79 18 EDIFICIO CRACOVIA PH";"MEDELLIN";6,24727;-75,59893
"CL 51 72 07";"CL 51 72 07 EDIFICIO BOLERAMA MIXTO PH";"MEDELLIN";6,260072;-75,58825
"CL 49 DD 88 86";"CL 49 DD 88 86 UNIDAD RESIDENCIAL SANTA ROSA DE LIMA";"MEDELLIN";6,262296;-75,6063
"DG 85 79 174";"DG 85 79 174 TORRE DIAMANTE PH";"MEDELLIN";6,284144;-75,58505
"CR 90 44 A 11";"CR 90 44 A 11 TORRE LA MERCERDES";"MEDELLIN";6,25315;-75,6071
"CL 51 65 208";"CL 51 65 208 CONJUNTO RESIDENCIAL VALDERROBLES II PH";"MEDELLIN";6,25757;-75,58237
"CL 38 B SUR 69 36";"CL 38 B SUR 69 36 ";"MEDELLIN";6,186607;-75,64916
"CL 31 61 28";"CL 31 61 28 SENDEROS DE SURAMERICA PH";"ITAGUI";6,164177;-75,62853
"CR 89 68 A 07";"CR 89 68 A 07 ";"MEDELLIN";6,280074;-75,59661
"CR 50 A 76 SUR 111";"CR 50 A 76 SUR 111 CONJUNTO RESIDENCIAL PUERTO MONTT";"ITAGUI";6,157975;-75,62339
"CR 43 D 14 A 60";"CR 43 D 14 A 60 URBANIZACION PINAR DEL RIO 1";"MEDELLIN";6,21626;-75,5713
"CR 32 1 B SUR 51 LO";"CR 32 1 B SUR 51 LO VENTURA MALL EMPRESARIAL";"MEDELLIN";6,199255;-75,56511
"CL 33 C 88 A 115";"CL 33 C 88 A 115 CONJUNTO LAURELES CAMPESTRE ETAPAS I II Y III PH TORRE 3";"MEDELLIN";6,24167;-75,61353
"CR 57 38 290";"CR 57 38 290 CONJUNTO RESIDENCIAL PUERTO NUEVO";"BELLO";6,31392;-75,57078
"CL 44 SUR 47 18";"CL 44 SUR 47 18 URBANIZACION MILAN CONDOMINO 9";"ENVIGADO";6,166567;-75,59755
"CR 42 5 SUR 105";"CR 42 5 SUR 105 URBANIZACION ATELIER LA FRANCIA";"MEDELLIN";6,30061;-75,55281
"CR 95 47 A 60";"CR 95 47 A 60 UNIDAD RESIDENCIAL JARDINES DE BABILONIA PH";"MEDELLIN";6,25673;-75,61207
"CR 86 C 53 C 41";"CR 86 C 53 C 41 COMERCIAL CEREZOS DE CALASANIA PH";"MEDELLIN";6,271123;-75,60546
"CR 48 4 SUR 200";"CR 48 4 SUR 200 CONJUNTO RESIDENCIAL ALDEA DE RIOBAMBA APTOS";"MEDELLIN";6,34235;-75,70153
"CL 75 SUR 53 150";"CL 75 SUR 53 150 CONJUNTO RESIDENCIAL AGUAS DEL BOSQUE PH";"ITAGUI";6,164715;-75,63569
"CL 37 B SUR 27 E 90";"CL 37 B SUR 27 E 90 PARQUE RESIDENCIAL LA ALQUERIA DE SAN ISIDRO PH";"ENVIGADO";6,163594;-75,57787
"CL 36 SUR 21 25";"CL 36 SUR 21 25 ";"ENVIGADO";6,166862;-75,55624
"CIR 72 39 A 22";"CIR 72 39 A 22 EDIFICIO LAURET PH MIXTA";"MEDELLIN";6,18589;-75,65076
"CL 54 86 C 66";"CL 54 86 C 66 URBANIZACION MARSELLA";"MEDELLIN";6,271278;-75,60457
"CL 76 53 79";"CL 76 53 79 URBANIZACION PARAISO DE LOS COLORES";"MEDELLIN";6,26612;-75,59367
"CL 77 63 A 08";"CL 77 63 A 08 CONJUNTO MIXTO MOLINOS DEL SOL PH";"BELLO";6,354057;-75,56778
"CIR 3 TV 74 93";"CIR 3 TV 74 93 LC 101";"MEDELLIN";6,24589;-75,57457
"CR 39 E 48 F SUR 85";"CR 39 E 48 F SUR 85 MANZANARES DE LA CUENCA";"ENVIGADO";6,154632;-75,59809
"CR 84 34 B 110";"CR 84 34 B 110 EDIFICIO ALTOS DEL ROSARIO PH";"MEDELLIN";6,24382;-75,60698
"CL 38 SUR 27 200";"CL 38 SUR 27 200 TIERRA GRATA BRUJA MAGICA";"ENVIGADO";6,157691;-75,57622
"CL 75 SUR 53 148";"CL 75 SUR 53 148 CONJUNTO RESIDENCIAL AGUAS DEL BOSQUE PH";"ITAGUI";6,164722;-75,63567
"CL 75 SUR 57 22";"CL 75 SUR 57 22 PARQUE RESIDENCIAL COSTA AZUL";"LA ESTRELLA";6,163915;-75,63767
"CR 27 A 36 SUR 150";"CR 27 A 36 SUR 150 BOSQUE ADENTRO PH";"ENVIGADO";6,165511;-75,57075
"CL 64 76 A 29";"CL 64 76 A 29 CONJUNTO USO MIXTO ONIX APARTAMENTOS PH";"MEDELLIN";6,24589;-75,57457
"CR 27 A 37 B SUR 109";"CR 27 A 37 B SUR 109 ";"ENVIGADO";6,159032;-75,57528
"CR 38 75 B SUR 115";"CR 38 75 B SUR 115 URB LA VEGA PARQUE RESIDENCIAL";"SABANETA";6,143584;-75,61679
"CL 75 AB SUR 52 D 336";"CL 75 AB SUR 52 D 336 CONJUNTO RESIDENCIAL ARIZA PH";"ITAGUI";6,161124;-75,63087
"CR 84 B 7 95";"CR 84 B 7 95 PARQUE DE LOS BERNAL";"MEDELLIN";6,217555;-75,60696
"CL 64 B 94 A 8";"CL 64 B 94 A 8 ";"MEDELLIN";6,2808;-75,60399
"CL 51 A 54 63";"CL 51 A 54 63 ";"BELLO";6,335114;-75,56227
"CL 45 A SUR 39 B 22";"CL 45 A SUR 39 B 22 TORRE 2 ETAPA 2 URBANIZACION IRIS PH";"ENVIGADO";6,160318;-75,59017
"CIR 4 72 4";"CIR 4 72 4 ";"MEDELLIN";6,244805;-75,586
"CL 8 84 B 65";"CL 8 84 B 65 CONJUNTO RESIDENCIAL FRONTERA DE LOS BERNAL";"MEDELLIN";6,21976;-75,60802
"CL 52 A 54 59";"CL 52 A 54 59 ";"BELLO";6,335892;-75,56237
"CL 27 40 35";"CL 27 40 35 EDIFICIO PRISTIN";"MEDELLIN";6,22546;-75,56707
"CL 75 72 B 110";"CL 75 72 B 110 ALMENDRA PH";"MEDELLIN";6,2753;-75,5839
